Run,Alias,AssayType,BioProject,BioSample,CenterName,Collection_Date,Consent,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,AvgSpotLen,Bases,Bytes
ERR2017527,N150,WGS,PRJEB21528,SAMEA104142212,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077109,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:07Z,public,Illumina HiSeq 2000,metagenome,SZAXPI020920-47,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142212,ERS1801230,Illumina,ERS1801230,ERP023788,N150,"sra,fastq","gs,ncbi,ena,s3","s3.us-east-1,ncbi.public,ena,gs.US",197,7618389981,5626989100
ERR2017528,N152,WGS,PRJEB21528,SAMEA104142218,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077110,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:07Z,public,Illumina HiSeq 2000,metagenome,SZAXPI020914-56,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142218,ERS1801236,Illumina,ERS1801236,ERP023788,N152,"fastq,sra","gs,s3,ena,ncbi","ncbi.public,gs.US,s3.us-east-1,ena",196,7505667798,5705258581
ERR2017529,N153,WGS,PRJEB21528,SAMEA104142211,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077111,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:07Z,public,Illumina HiSeq 2000,metagenome,SZAXPI020921-57,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142211,ERS1801229,Illumina,ERS1801229,ERP023788,N153,"sra,fastq","gs,ncbi,ena,s3","ncbi.public,ena,s3.us-east-1,gs.US",196,8190627295,6266315336
ERR2017530,N155,WGS,PRJEB21528,SAMEA104142210,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077112,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:07Z,public,Illumina HiSeq 2000,metagenome,SZAXPI020922-62,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142210,ERS1801228,Illumina,ERS1801228,ERP023788,N155,"fastq,sra","gs,ncbi,s3,ena","ncbi.public,ena,gs.US,s3.us-east-1",196,7216928456,5512842809
ERR2017532,N168,WGS,PRJEB21528,SAMEA104142077,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077114,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:04Z,public,Illumina HiSeq 2000,metagenome,SZAXPI027667-158,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142077,ERS1801095,Illumina,ERS1801095,ERP023788,N168,"sra,fastq","s3,ena,ncbi,gs","gs.US,ncbi.public,ena,s3.us-east-1",194,5888309792,4566054771
ERR2017534,N171,WGS,PRJEB21528,SAMEA104142152,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077116,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:06Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026465-80,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142152,ERS1801170,Illumina,ERS1801170,ERP023788,N171,"fastq,sra","ncbi,gs,s3,ena","ena,s3.us-east-1,ncbi.public,gs.US",193,6028450948,4972349110
ERR2017568,N220,WGS,PRJEB21528,SAMEA104142075,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077150,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:04Z,public,Illumina HiSeq 2000,metagenome,SZAXPI027669-169,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142075,ERS1801093,Illumina,ERS1801093,ERP023788,N220,"sra,fastq","gs,ncbi,ena,s3","gs.US,ena,s3.us-east-1,ncbi.public",195,6282541444,4837408281
ERR2017569,N221,WGS,PRJEB21528,SAMEA104142119,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077151,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:05Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026556-51,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142119,ERS1801137,Illumina,ERS1801137,ERP023788,N221,"sra,fastq","ncbi,ena,gs,s3","ena,s3.us-east-1,gs.US,ncbi.public",194,6571280658,5386035702
ERR2017570,N222,WGS,PRJEB21528,SAMEA104142118,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077152,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:05Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026557-52,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142118,ERS1801136,Illumina,ERS1801136,ERP023788,N222,"fastq,sra","ncbi,gs,ena,s3","gs.US,ncbi.public,ena,s3.us-east-1",194,6590252486,5327167319
ERR2017571,N223,WGS,PRJEB21528,SAMEA104142117,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077153,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:05Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026558-64,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142117,ERS1801135,Illumina,ERS1801135,ERP023788,N223,"sra,fastq","gs,s3,ena,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",193,5662955548,4657129337
ERR2017572,N224,WGS,PRJEB21528,SAMEA104142116,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077154,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:05Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026559-66,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142116,ERS1801134,Illumina,ERS1801134,ERP023788,N224,"sra,fastq","ncbi,ena,gs,s3","ena,ncbi.public,gs.US,s3.us-east-1",194,4230174665,3325540207
ERR2017573,N225,WGS,PRJEB21528,SAMEA104142115,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077155,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:05Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026560-74,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142115,ERS1801133,Illumina,ERS1801133,ERP023788,N225,"sra,fastq","gs,ena,s3,ncbi","ena,ncbi.public,s3.us-east-1,gs.US",193,5995566326,4960770256
ERR2017613,ZSL-040,WGS,PRJEB21528,SAMEA104142290,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077195,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011813-46,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142290,ERS1801308,Illumina,ERS1801308,ERP023788,ZSL-040,"sra,fastq","ena,ncbi,gs,s3","gs.US,ncbi.public,ena,s3.us-east-1",197,4571909156,3321860205
ERR2017614,ZSL-042,WGS,PRJEB21528,SAMEA104142308,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077196,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011768-47,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142308,ERS1801326,Illumina,ERS1801326,ERP023788,ZSL-042,"fastq,sra","ena,s3,ncbi,gs","gs.US,ena,s3.us-east-1,ncbi.public",197,5621167196,4091708077
ERR2017615,ZSL-044,WGS,PRJEB21528,SAMEA104142307,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077197,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011769-57,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142307,ERS1801325,Illumina,ERS1801325,ERP023788,ZSL-044,"fastq,sra","gs,ncbi,ena,s3","ncbi.public,s3.us-east-1,gs.US,ena",196,4685279853,3462356880
ERR2017656,ZSL-115,WGS,PRJEB21528,SAMEA104142279,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077238,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011915-41,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142279,ERS1801297,Illumina,ERS1801297,ERP023788,ZSL-115,"sra,fastq","s3,ncbi,gs,ena","s3.us-east-1,ncbi.public,gs.US,ena",193,4860040415,4049683978
ERR2017657,ZSL-116,WGS,PRJEB21528,SAMEA104142286,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077239,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011821-43,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142286,ERS1801304,Illumina,ERS1801304,ERP023788,ZSL-116,"fastq,sra","s3,gs,ncbi,ena","gs.US,ncbi.public,ena,s3.us-east-1",197,3970732898,2796149098
ERR2017658,ZSL-120,WGS,PRJEB21528,SAMEA104142304,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077240,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011796-45,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142304,ERS1801322,Illumina,ERS1801322,ERP023788,ZSL-120,"fastq,sra","gs,ena,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",194,4569146486,3715913242
ERR2017659,ZSL-122,WGS,PRJEB21528,SAMEA104142305,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077241,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011795-46,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142305,ERS1801323,Illumina,ERS1801323,ERP023788,ZSL-122,"sra,fastq","ncbi,ena,s3,gs","ena,gs.US,s3.us-east-1,ncbi.public",195,6518431820,5293070482
ERR2017660,ZSL-123,WGS,PRJEB21528,SAMEA104142306,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077242,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011794-47,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142306,ERS1801324,Illumina,ERS1801324,ERP023788,ZSL-123,"fastq,sra","gs,ena,ncbi,s3","gs.US,ena,s3.us-east-1,ncbi.public",194,6365014489,5222686481
ERR2017661,ZSL-127,WGS,PRJEB21528,SAMEA104142247,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077243,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:08Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011955-57,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142247,ERS1801265,Illumina,ERS1801265,ERP023788,ZSL-127,"fastq,sra","ena,s3,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",196,5590792658,4176963787
ERR2017662,ZSL-128,WGS,PRJEB21528,SAMEA104142246,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077244,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:08Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011956-62,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142246,ERS1801264,Illumina,ERS1801264,ERP023788,ZSL-128,"sra,fastq","ena,ncbi,gs,s3","gs.US,ncbi.public,ena,s3.us-east-1",197,5804371308,4232481516
ERR2017663,ZSL-129,WGS,PRJEB21528,SAMEA104142245,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077245,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:08Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011957-74,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142245,ERS1801263,Illumina,ERS1801263,ERP023788,ZSL-129,"sra,fastq","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",196,4551806273,3313368601
ERR2017664,ZSL_130,WGS,PRJEB21528,SAMEA104142318,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077246,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:10Z,public,Illumina HiSeq 2000,metagenome,SZAXPI007545-136,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142318,ERS1801336,Illumina,ERS1801336,ERP023788,ZSL_130,"sra,fastq","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",194,4706864420,3787753525
ERR2017665,ZSL-131,WGS,PRJEB21528,SAMEA104142244,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077247,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:08Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011958-75,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142244,ERS1801262,Illumina,ERS1801262,ERP023788,ZSL-131,"fastq,sra","ena,ncbi,gs,s3","s3.us-east-1,ncbi.public,ena,gs.US",197,4264997183,3030019377
ERR2017666,ZSL-132,WGS,PRJEB21528,SAMEA104142243,BEIJING GENOME INSTITUTE,2011,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077248,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:08Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011959-79,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142243,ERS1801261,Illumina,ERS1801261,ERP023788,ZSL-132,"sra,fastq","ena,s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",197,4277349081,3031724104
ERR2017739,ZSL359,WGS,PRJEB21528,SAMEA104142082,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077321,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:04Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026674-166,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142082,ERS1801100,Illumina,ERS1801100,ERP023788,ZSL359,"sra,fastq","ncbi,ena,gs,s3","s3.us-east-1,ncbi.public,gs.US,ena",194,4916800219,3806971628
ERR2017740,ZSL365,WGS,PRJEB21528,SAMEA104142081,BEIJING GENOME INSTITUTE,2012,public,ERC000015,2017-12-14,2018-11-16,human gut,human-associated habitat,faeces,ERX2077322,China,Asia,China,55.676097,12.568337,human-gut,BGI,Beijing Genome Institute,2017-08-26T17:01:31Z,2017-06-27T07:34:04Z,public,Illumina HiSeq 2000,metagenome,SZAXPI026675-169,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,Acvd,2017-12-15T00:00:00Z,SAMEA104142081,ERS1801099,Illumina,ERS1801099,ERP023788,ZSL365,"fastq,sra","ncbi,ena,gs,s3","gs.US,ncbi.public,s3.us-east-1,ena",198,4072223531,2849314250
