Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,Description,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,SampleName,Sample_Name,SRA_accession,SRAStudy,Title
ERR260143,12,WGS,202,2849144956,PRJEB1786,SAMEA1906434,2038885788,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ncbi,ena","ncbi.public,ena,gs.US,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234731,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906434,ERS235507,ERS235507,ERP002469,350
ERR260144,13,WGS,202,2483902494,PRJEB1786,SAMEA1906558,1754345269,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3,ncbi","s3.us-east-1,gs.US,ena,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234732,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906558,ERS235508,ERS235508,ERP002469,353
ERR260145,14,WGS,202,2832133728,PRJEB1786,SAMEA1906582,2028431916,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,ena,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234733,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906582,ERS235509,ERS235509,ERP002469,354
ERR260146,15,WGS,202,2805316612,PRJEB1786,SAMEA1906496,2039612553,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,ena,ncbi,gs","ncbi.public,s3.us-east-1,gs.US,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234734,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:56Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906496,ERS235510,ERS235510,ERP002469,356
ERR260147,16,WGS,202,2821768300,PRJEB1786,SAMEA1906490,2101637156,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234735,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906490,ERS235511,ERS235511,ERP002469,365
ERR260148,17,WGS,202,2209859194,PRJEB1786,SAMEA1906457,1571457806,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ncbi,gs,s3,ena","ncbi.public,ena,gs.US,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234736,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906457,ERS235512,ERS235512,ERP002469,367
ERR260149,18,WGS,202,3081799264,PRJEB1786,SAMEA1906437,2219693097,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ncbi,s3,gs,ena","gs.US,ncbi.public,s3.us-east-1,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234737,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906437,ERS235513,ERS235513,ERP002469,370
ERR260150,19,WGS,202,3043333010,PRJEB1786,SAMEA1906419,2153769930,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ena,ncbi","s3.us-east-1,ena,ncbi.public,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234738,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906419,ERS235514,ERS235514,ERP002469,372
ERR260151,20,WGS,202,2630431274,PRJEB1786,SAMEA1906571,1876190136,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ncbi,ena,s3,gs","ncbi.public,gs.US,s3.us-east-1,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234739,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906571,ERS235515,ERS235515,ERP002469,378
ERR260152,21,WGS,202,1813559434,PRJEB1786,SAMEA1906580,1295615645,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234740,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906580,ERS235516,ERS235516,ERP002469,380
ERR260153,22,WGS,202,2811341262,PRJEB1786,SAMEA1906560,2011740058,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,ena,s3","ncbi.public,s3.us-east-1,gs.US,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234741,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906560,ERS235517,ERS235517,ERP002469,381
ERR260154,23,WGS,202,2485331038,PRJEB1786,SAMEA1906541,1775906892,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,ena,s3","ncbi.public,gs.US,s3.us-east-1,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234742,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906541,ERS235518,ERS235518,ERP002469,384
ERR260155,24,WGS,202,2575030956,PRJEB1786,SAMEA1906505,1846110767,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,ncbi,gs,s3","ncbi.public,s3.us-east-1,ena,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234743,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906505,ERS235519,ERS235519,ERP002469,389
ERR260156,25,WGS,202,1683913006,PRJEB1786,SAMEA1906518,1196756607,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,ena,gs,ncbi","s3.us-east-1,gs.US,ena,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234744,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906518,ERS235520,ERS235520,ERP002469,393
ERR260157,26,WGS,202,2355739554,PRJEB1786,SAMEA1906578,1655533194,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,s3,ncbi","s3.us-east-1,gs.US,ena,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234745,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906578,ERS235521,ERS235521,ERP002469,395
ERR260159,28,WGS,202,2187599400,PRJEB1786,SAMEA1906435,1566931401,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ncbi,ena,s3","gs.US,ncbi.public,ena,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234747,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906435,ERS235523,ERS235523,ERP002469,398
ERR260160,29,WGS,202,2333460974,PRJEB1786,SAMEA1906423,1660065367,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ena,ncbi,s3","ena,gs.US,s3.us-east-1,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234748,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906423,ERS235524,ERS235524,ERP002469,420
ERR260161,30,WGS,202,4332127956,PRJEB1786,SAMEA1906482,3198063019,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ena,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234749,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906482,ERS235525,ERS235525,ERP002469,421
ERR260162,31,WGS,202,6206585340,PRJEB1786,SAMEA1906450,4585795663,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,ena,ncbi,gs","ncbi.public,gs.US,s3.us-east-1,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234750,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906450,ERS235526,ERS235526,ERP002469,422
ERR260163,32,WGS,202,3218523570,PRJEB1786,SAMEA1906470,2395027422,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,ncbi,ena,s3","ncbi.public,gs.US,s3.us-east-1,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234751,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906470,ERS235527,ERS235527,ERP002469,424
ERR260164,33,WGS,202,3528416012,PRJEB1786,SAMEA1906537,2635113639,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234752,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906537,ERS235528,ERS235528,ERP002469,432
ERR260165,34,WGS,202,4665993960,PRJEB1786,SAMEA1906512,3468493578,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,gs,ena,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234753,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906512,ERS235529,ERS235529,ERP002469,434
ERR260166,35,WGS,202,4395895316,PRJEB1786,SAMEA1906469,3304349827,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,gs,s3,ncbi","ncbi.public,ena,gs.US,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234754,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906469,ERS235530,ERS235530,ERP002469,436
ERR260167,36,WGS,202,4349189684,PRJEB1786,SAMEA1906456,3213476637,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,gs,ncbi,s3","s3.us-east-1,gs.US,ena,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234755,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906456,ERS235531,ERS235531,ERP002469,439
ERR260168,37,WGS,202,4677011242,PRJEB1786,SAMEA1906480,3468166909,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,s3,ncbi","ena,ncbi.public,s3.us-east-1,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234756,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906480,ERS235532,ERS235532,ERP002469,441
ERR260169,38,WGS,202,1920754976,PRJEB1786,SAMEA1906421,1426108498,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ena,ncbi,s3","s3.us-east-1,gs.US,ncbi.public,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234757,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906421,ERS235533,ERS235533,ERP002469,446
ERR260170,39,WGS,202,3060202838,PRJEB1786,SAMEA1906441,2289042287,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,gs,ena,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234758,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906441,ERS235534,ERS235534,ERP002469,451
ERR260172,41,WGS,202,5463190394,PRJEB1786,SAMEA1906547,3756005308,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","gs,s3,ncbi,ena","gs.US,s3.us-east-1,ncbi.public,ena",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234760,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906547,ERS235536,ERS235536,ERP002469,457
ERR260173,42,WGS,202,6016218318,PRJEB1786,SAMEA1906529,4188004622,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ncbi,ena,s3,gs","ncbi.public,ena,gs.US,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234761,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906529,ERS235537,ERS235537,ERP002469,458
ERR260174,43,WGS,202,4557287054,PRJEB1786,SAMEA1906540,3151332021,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","s3,gs,ena,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234762,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906540,ERS235538,ERS235538,ERP002469,462
ERR260175,44,WGS,202,3201683234,PRJEB1786,SAMEA1906522,2217265696,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,ncbi,gs,s3","gs.US,s3.us-east-1,ena,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234763,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906522,ERS235539,ERS235539,ERP002469,463
ERR260176,45,WGS,202,3742755384,PRJEB1786,SAMEA1906583,2593393693,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"fastq,sra","ena,gs,s3,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234764,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906583,ERS235540,ERS235540,ERP002469,468
ERR260177,46,WGS,202,4335598114,PRJEB1786,SAMEA1906559,2987658365,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","s3,ena,ncbi,gs","s3.us-east-1,gs.US,ena,ncbi.public",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234765,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906559,ERS235541,ERS235541,ERP002469,472
ERR260178,47,WGS,202,5173989216,PRJEB1786,SAMEA1906553,3668821724,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","gs,ncbi,s3,ena","gs.US,ncbi.public,ena,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234766,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906553,ERS235542,ERS235542,ERP002469,476
ERR260179,48,WGS,202,4220008866,PRJEB1786,SAMEA1906442,2924922270,CHALMERS UNIVERSITY OF TECHNOLOGY,public,"sra,fastq","ena,s3,gs,ncbi","ncbi.public,gs.US,ena,s3.us-east-1",Human gut metagenome,ERC000011,2013-05-16,2018-11-16,ERX234767,CHALMERS,Chalmers University of Technology,2013-05-16T17:02:25Z,2013-04-12T09:15:57Z,public,Illumina HiSeq 2000,unspecified,PAIRED,RANDOM,METAGENOMIC,Homo sapiens,ILLUMINA,2013-05-27T00:00:00Z,SAMEA1906442,ERS235543,ERS235543,ERP002469,478
