Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Environmental_package,Experiment,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR321277,MetaHIT-MH0094,WGS,146,276674672,PRJEB4336,SAMEA2155310,202799130,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294410,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2155310,ERS328808,Illumina,ERS328808,ERP003612,Stool sample from danish
ERR321279,MetaHIT-MH0094,WGS,148,598293404,PRJEB4336,SAMEA2155310,423918589,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294412,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091128L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2155310,ERS328808,Illumina,ERS328808,ERP003612,Stool sample from danish
ERR321281,MetaHIT-MH0095,WGS,148,2294764124,PRJEB4336,SAMEA2157192,1771850098,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294414,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091014,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2157192,ERS328809,Illumina,ERS328809,ERP003612,Stool sample from danish
ERR321282,MetaHIT-MH0095,WGS,148,558791612,PRJEB4336,SAMEA2157192,417014604,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294415,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2157192,ERS328809,Illumina,ERS328809,ERP003612,Stool sample from danish
ERR321283,MetaHIT-MH0095,WGS,146,234695438,PRJEB4336,SAMEA2157192,171589700,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294416,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L6,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2157192,ERS328809,Illumina,ERS328809,ERP003612,Stool sample from danish
ERR321284,MetaHIT-MH0095,WGS,146,228937052,PRJEB4336,SAMEA2157192,166810987,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294417,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L7,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2157192,ERS328809,Illumina,ERS328809,ERP003612,Stool sample from danish
ERR321299,MetaHIT-MH0098,WGS,148,2830740944,PRJEB4336,SAMEA2151391,2162519018,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294432,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091014,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2151391,ERS328812,Illumina,ERS328812,ERP003612,Stool sample from danish
ERR321301,MetaHIT-MH0098,WGS,148,986879540,PRJEB4336,SAMEA2151391,710865043,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294434,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:21Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L8,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2151391,ERS328812,Illumina,ERS328812,ERP003612,Stool sample from danish
ERR321305,MetaHIT-MH0099,WGS,148,343439180,PRJEB4336,SAMEA1966821,241441070,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294438,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA1966821,ERS328813,Illumina,ERS328813,ERP003612,Stool sample from danish
ERR321322,MetaHIT-MH0103,WGS,148,2748264096,PRJEB4336,SAMEA2147216,2112035800,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294455,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091014,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2147216,ERS328817,Illumina,ERS328817,ERP003612,Stool sample from danish
ERR321333,MetaHIT-MH0104,WGS,148,569958952,PRJEB4336,SAMEA2144588,438241611,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294466,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091212L5,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2144588,ERS328818,Illumina,ERS328818,ERP003612,Stool sample from danish
ERR321335,MetaHIT-MH0105,WGS,148,394105204,PRJEB4336,SAMEA2162880,273974019,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294468,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L2,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2162880,ERS328819,Illumina,ERS328819,ERP003612,Stool sample from danish
ERR321337,MetaHIT-MH0105,WGS,148,394796956,PRJEB4336,SAMEA2162880,277931014,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294470,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2162880,ERS328819,Illumina,ERS328819,ERP003612,Stool sample from danish
ERR321339,MetaHIT-MH0106,WGS,148,2623485740,PRJEB4336,SAMEA2153557,2055387954,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294472,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091015,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2153557,ERS328820,Illumina,ERS328820,ERP003612,Stool sample from danish
ERR321344,MetaHIT-MH0106,WGS,146,314152872,PRJEB4336,SAMEA2153557,227762030,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294477,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L8,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2153557,ERS328820,Illumina,ERS328820,ERP003612,Stool sample from danish
ERR321347,MetaHIT-MH0107,WGS,148,1450367440,PRJEB4336,SAMEA2149539,1121288509,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294480,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091107L7,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2149539,ERS328821,Illumina,ERS328821,ERP003612,Stool sample from danish
ERR321350,MetaHIT-MH0107,WGS,148,362094432,PRJEB4336,SAMEA2149539,245132004,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294483,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L7,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2149539,ERS328821,Illumina,ERS328821,ERP003612,Stool sample from danish
ERR321355,MetaHIT-MH0109,WGS,148,428836808,PRJEB4336,SAMEA2158408,299876340,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294488,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L2,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2158408,ERS328823,Illumina,ERS328823,ERP003612,Stool sample from danish
ERR321356,MetaHIT-MH0109,WGS,148,434047888,PRJEB4336,SAMEA2158408,305142913,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294489,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2158408,ERS328823,Illumina,ERS328823,ERP003612,Stool sample from danish
ERR321360,MetaHIT-MH0110,WGS,148,593932880,PRJEB4336,SAMEA2147022,436027230,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294493,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2147022,ERS328824,Illumina,ERS328824,ERP003612,Stool sample from danish
ERR321362,MetaHIT-MH0110,WGS,146,253798078,PRJEB4336,SAMEA2147022,185737222,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294495,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L5,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2147022,ERS328824,Illumina,ERS328824,ERP003612,Stool sample from danish
ERR321364,MetaHIT-MH0110,WGS,148,618380556,PRJEB4336,SAMEA2147022,490972152,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294497,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091212L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2147022,ERS328824,Illumina,ERS328824,ERP003612,Stool sample from danish
ERR321365,MetaHIT-MH0111,WGS,148,3052337496,PRJEB4336,SAMEA2146320,2312653096,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294498,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091031,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2146320,ERS328825,Illumina,ERS328825,ERP003612,Stool sample from danish
ERR321369,MetaHIT-MH0113,WGS,148,445355236,PRJEB4336,SAMEA2146908,195923682,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294502,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20100124L7,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2146908,ERS328826,Illumina,ERS328826,ERP003612,Stool sample from danish
ERR321371,MetaHIT-MH0113,WGS,148,450273128,PRJEB4336,SAMEA2146908,213793867,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294504,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20100125L5,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2146908,ERS328826,Illumina,ERS328826,ERP003612,Stool sample from danish
ERR321375,MetaHIT-MH0114,WGS,148,361454776,PRJEB4336,SAMEA2147384,254776846,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294508,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2147384,ERS328827,Illumina,ERS328827,ERP003612,Stool sample from danish
ERR321377,MetaHIT-MH0115,WGS,148,2826033508,PRJEB4336,SAMEA2163248,2210398097,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294510,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091023,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2163248,ERS328828,Illumina,ERS328828,ERP003612,Stool sample from danish
ERR321378,MetaHIT-MH0115,WGS,148,873482088,PRJEB4336,SAMEA2163248,647311347,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294511,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L8,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2163248,ERS328828,Illumina,ERS328828,ERP003612,Stool sample from danish
ERR321379,MetaHIT-MH0115,WGS,146,374229682,PRJEB4336,SAMEA2163248,275334091,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2013-09-11,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX294512,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2013-09-11T17:01:05Z,2013-07-20T03:45:22Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-Richness,2013-09-18T00:00:00Z,SAMEA2163248,ERS328828,Illumina,ERS328828,ERP003612,Stool sample from danish
