Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Broker_name,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Environmental_package,Experiment,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,instrument_modelrun
ERR209263,MH0093,WGS,136,481100458,PRJEB1220,SAMEA2042428,"Beijing Genome Institute\, Shenzhen\, China",402616295,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183928,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042428,ERS199091,Illumina,ERS199091,ERP002061,Stool sample from danish,
ERR209325,MH0104,WGS,128,195013870,PRJEB1220,SAMEA2042488,"Beijing Genome Institute\, Shenzhen\, China",160760138,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183990,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L8,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042488,ERS199102,Illumina,ERS199102,ERP002061,Stool sample from danish,
ERR209326,MH0104,WGS,129,425979080,PRJEB1220,SAMEA2042488,"Beijing Genome Institute\, Shenzhen\, China",372269914,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183991,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091212L5,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042488,ERS199102,Illumina,ERS199102,ERP002061,Stool sample from danish,
ERR209327,MH0105,WGS,121,1925347971,PRJEB1220,SAMEA2042489,"Beijing Genome Institute\, Shenzhen\, China",1722225557,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183992,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091015,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042489,ERS199103,Illumina,ERS199103,ERP002061,Stool sample from danish,
ERR209328,MH0105,WGS,136,354971143,PRJEB1220,SAMEA2042489,"Beijing Genome Institute\, Shenzhen\, China",281993458,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183993,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L2,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042489,ERS199103,Illumina,ERS199103,ERP002061,Stool sample from danish,
ERR209329,MH0105,WGS,135,359209656,PRJEB1220,SAMEA2042489,"Beijing Genome Institute\, Shenzhen\, China",286082680,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183994,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042489,ERS199103,Illumina,ERS199103,ERP002061,Stool sample from danish,
ERR209330,MH0105,WGS,135,354613494,PRJEB1220,SAMEA2042489,"Beijing Genome Institute\, Shenzhen\, China",284551617,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183995,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091124L4,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042489,ERS199103,Illumina,ERS199103,ERP002061,Stool sample from danish,
ERR209331,MH0105,WGS,133,590117499,PRJEB1220,SAMEA2042489,"Beijing Genome Institute\, Shenzhen\, China",516179251,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183996,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091212L2,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042489,ERS199103,Illumina,ERS199103,ERP002061,Stool sample from danish,
ERR209332,MH0106,WGS,123,1849054550,PRJEB1220,SAMEA2042490,"Beijing Genome Institute\, Shenzhen\, China",1700542326,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183997,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091015,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042490,ERS199104,Illumina,ERS199104,ERP002061,Stool sample from danish,
ERR209333,MH0106,WGS,130,979885550,PRJEB1220,SAMEA2042490,"Beijing Genome Institute\, Shenzhen\, China",856911906,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX183998,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091107L8,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042490,ERS199104,Illumina,ERS199104,ERP002061,Stool sample from danish,
ERR209335,MH0106,WGS,129,261089464,PRJEB1220,SAMEA2042490,"Beijing Genome Institute\, Shenzhen\, China",215904051,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184000,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L6,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042490,ERS199104,Illumina,ERS199104,ERP002061,Stool sample from danish,
ERR209336,MH0106,WGS,129,257189517,PRJEB1220,SAMEA2042490,"Beijing Genome Institute\, Shenzhen\, China",211716582,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184001,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L7,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042490,ERS199104,Illumina,ERS199104,ERP002061,Stool sample from danish,
ERR209337,MH0106,WGS,129,260462633,PRJEB1220,SAMEA2042490,"Beijing Genome Institute\, Shenzhen\, China",214837822,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184002,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:34Z,public,Illumina Genome Analyzer IIx,metagenome,20091126L8,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042490,ERS199104,Illumina,ERS199104,ERP002061,Stool sample from danish,
ERR209468,MH0148,WGS,137,499418409,PRJEB1220,SAMEA2042611,"Beijing Genome Institute\, Shenzhen\, China",302725226,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184133,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20100125L5,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042611,ERS199142,Illumina,ERS199142,ERP002061,Stool sample from danish,
ERR209469,MH0149,WGS,130,3379012710,PRJEB1220,SAMEA2042612,"Beijing Genome Institute\, Shenzhen\, China",2731371933,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184134,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091105,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042612,ERS199143,Illumina,ERS199143,ERP002061,Stool sample from danish,
ERR209470,MH0151,WGS,132,3726448380,PRJEB1220,SAMEA1973207,"Beijing Genome Institute\, Shenzhen\, China",2982181224,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184135,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091105,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1973207,ERS199144,Illumina,ERS199144,ERP002061,Stool sample from danish,
ERR209472,MH0153,WGS,130,3484845342,PRJEB1220,SAMEA2042614,"Beijing Genome Institute\, Shenzhen\, China",2824696732,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184137,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091105,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042614,ERS199146,Illumina,ERS199146,ERP002061,Stool sample from danish,
ERR209473,MH0154,WGS,130,3423760736,PRJEB1220,SAMEA2042615,"Beijing Genome Institute\, Shenzhen\, China",2774795623,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184138,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091105,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042615,ERS199147,Illumina,ERS199147,ERP002061,Stool sample from danish,
ERR209474,MH0155,WGS,138,3612502014,PRJEB1220,SAMEA2042616,"Beijing Genome Institute\, Shenzhen\, China",2881578782,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184139,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042616,ERS199148,Illumina,ERS199148,ERP002061,Stool sample from danish,
ERR209475,MH0156,WGS,136,3531861143,PRJEB1220,SAMEA2042617,"Beijing Genome Institute\, Shenzhen\, China",2829618651,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184140,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042617,ERS199149,Illumina,ERS199149,ERP002061,Stool sample from danish,
ERR209476,MH0157,WGS,129,3061642108,PRJEB1220,SAMEA2042643,"Beijing Genome Institute\, Shenzhen\, China",2517137118,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184141,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042643,ERS199150,Illumina,ERS199150,ERP002061,Stool sample from danish,
ERR209477,MH0158,WGS,132,3258151046,PRJEB1220,SAMEA1965767,"Beijing Genome Institute\, Shenzhen\, China",2668232100,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184142,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA1965767,ERS199151,Illumina,ERS199151,ERP002061,Stool sample from danish,
ERR209478,MH0159,WGS,132,3228887828,PRJEB1220,SAMEA2042644,"Beijing Genome Institute\, Shenzhen\, China",2629653182,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184143,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091111,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042644,ERS199152,Illumina,ERS199152,ERP002061,Stool sample from danish,
ERR209513,MH0177,WGS,131,332856061,PRJEB1220,SAMEA2042730,"Beijing Genome Institute\, Shenzhen\, China",214289824,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184178,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20100125L3,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042730,ERS199167,Illumina,ERS199167,ERP002061,Stool sample from danish,
ERR209514,MH0178,WGS,131,3800793183,PRJEB1220,SAMEA2042731,"Beijing Genome Institute\, Shenzhen\, China",3133009963,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184179,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091110,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042731,ERS199168,Illumina,ERS199168,ERP002061,Stool sample from danish,
ERR209515,MH0179,WGS,132,3924717824,PRJEB1220,SAMEA2042732,"Beijing Genome Institute\, Shenzhen\, China",3212230032,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184180,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:35Z,public,Illumina Genome Analyzer IIx,metagenome,20091110,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042732,ERS199169,Illumina,ERS199169,ERP002061,Stool sample from danish,
ERR209517,MH0181,WGS,138,4532983503,PRJEB1220,SAMEA2042734,"Beijing Genome Institute\, Shenzhen\, China",3460170675,BGI,2008/2010,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2014-05-15,2018-11-16,human gut,human-associated habitat,faeces,human-gut,ERX184182,Denmark,55.676097,12.568337,BGI,Beijing Genome Institute,2014-05-15T17:02:13Z,2012-12-17T03:39:36Z,public,Illumina Genome Analyzer IIx,metagenome,20091117,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-MGS,2014-05-16T00:00:00Z,SAMEA2042734,ERS199171,Illumina,ERS199171,ERP002061,Stool sample from danish,
