Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,Description,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR1728074,donald1-11-7-0,WGS,161,461253424,PRJEB17632,SAMEA4545489,289904114,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-03-20,public,"fastq,sra","ncbi,ena,gs,s3","ncbi.public,gs.US,s3.us-east-1,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1798002,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545489,ERS1444668,Illumina,ERS1444668,ERP019502,donald1-11-7-0
ERR1728075,donald1-11-7-0,WGS,159,491866283,PRJEB17632,SAMEA4545489,305605878,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-03-20,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,s3.us-east-1,ena,gs.US",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1798003,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545489,ERS1444668,Illumina,ERS1444668,ERP019502,donald1-11-7-0
ERR1727283,713A013-11-0-0,WGS,170,1819926919,PRJEB17632,SAMEA4545292,1412304199,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-28,public,"fastq,sra","gs,ena,ncbi,s3","ncbi.public,s3.us-east-1,gs.US,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797211,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545292,ERS1444471,Illumina,ERS1444471,ERP019502,713A013-11-0-0
ERR1727284,713A013-11-0-0,WGS,173,1877516850,PRJEB17632,SAMEA4545292,1460176488,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-28,public,"sra,fastq","ena,s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797212,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545292,ERS1444471,Illumina,ERS1444471,ERP019502,713A013-11-0-0
ERR1727285,713A013-11-0-0,WGS,169,1838597280,PRJEB17632,SAMEA4545292,1443206860,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-28,public,"fastq,sra","ena,s3,gs,ncbi","s3.us-east-1,gs.US,ena,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797213,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545292,ERS1444471,Illumina,ERS1444471,ERP019502,713A013-11-0-0
ERR1727286,713A013-11-0-0,WGS,173,1838446886,PRJEB17632,SAMEA4545292,1430023731,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-28,public,"sra,fastq","ena,ncbi,gs,s3","ena,s3.us-east-1,gs.US,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797214,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545292,ERS1444471,Illumina,ERS1444471,ERP019502,713A013-11-0-0
ERR1727287,pluto3-11-7-0,WGS,172,1108808226,PRJEB17632,SAMEA4545544,732479873,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-03-08,public,"fastq,sra","ncbi,s3,gs,ena","ena,gs.US,s3.us-east-1,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797215,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545544,ERS1444723,Illumina,ERS1444723,ERP019502,pluto3-11-7-0
ERR1727288,pluto3-11-7-0,WGS,172,1128406728,PRJEB17632,SAMEA4545544,746845507,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-03-08,public,"fastq,sra","ena,s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797216,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545544,ERS1444723,Illumina,ERS1444723,ERP019502,pluto3-11-7-0
ERR1727298,713B029-11-0-0,WGS,182,1404373572,PRJEB17632,SAMEA4545392,1071715015,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-28,public,"sra,fastq","gs,ncbi,s3,ena","gs.US,ena,s3.us-east-1,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797226,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545392,ERS1444571,Illumina,ERS1444571,ERP019502,713B029-11-0-0
ERR1727299,713B020-11-90-0,WGS,169,1585061626,PRJEB17632,SAMEA4545387,1266367039,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-04-14,public,"fastq,sra","gs,ncbi,s3,ena","s3.us-east-1,gs.US,ena,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797227,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545387,ERS1444566,Illumina,ERS1444566,ERP019502,713B020-11-90-0
ERR1727301,713B020-11-90-0,WGS,169,1598166641,PRJEB17632,SAMEA4545387,1276592085,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-04-14,public,"sra,fastq","ncbi,ena,s3,gs","s3.us-east-1,ena,gs.US,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797229,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545387,ERS1444566,Illumina,ERS1444566,ERP019502,713B020-11-90-0
ERR1727303,713A058-11-90-0,WGS,178,1514121101,PRJEB17632,SAMEA4545339,1064214358,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-02-04,public,"fastq,sra","gs,ncbi,ena,s3","s3.us-east-1,gs.US,ena,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797231,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545339,ERS1444518,Illumina,ERS1444518,ERP019502,713A058-11-90-0
ERR1727305,713A058-11-90-0,WGS,178,1568943975,PRJEB17632,SAMEA4545339,1103246743,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-02-04,public,"fastq,sra","s3,gs,ncbi,ena","ena,gs.US,ncbi.public,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797233,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545339,ERS1444518,Illumina,ERS1444518,ERP019502,713A058-11-90-0
ERR1727306,713A058-11-90-0,WGS,180,1628867803,PRJEB17632,SAMEA4545339,1152102380,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-02-04,public,"fastq,sra","ncbi,gs,ena,s3","gs.US,ena,s3.us-east-1,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797234,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545339,ERS1444518,Illumina,ERS1444518,ERP019502,713A058-11-90-0
ERR1727323,713B063-11-90-0,WGS,167,1254754323,PRJEB17632,SAMEA4545435,1004834882,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-02-11,public,"sra,fastq","s3,gs,ena,ncbi","gs.US,ena,ncbi.public,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797251,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:52Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545435,ERS1444614,Illumina,ERS1444614,ERP019502,713B063-11-90-0
ERR1727325,713B063-11-90-0,WGS,167,1270011451,PRJEB17632,SAMEA4545435,1017474068,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-02-11,public,"sra,fastq","ncbi,s3,gs,ena","s3.us-east-1,ncbi.public,gs.US,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797253,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:52Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545435,ERS1444614,Illumina,ERS1444614,ERP019502,713B063-11-90-0
ERR1727344,thistle3-11-0-0,WGS,172,1117073048,PRJEB17632,SAMEA4545556,766972790,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-07-23,public,"fastq,sra","s3,ena,gs,ncbi","gs.US,s3.us-east-1,ena,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797272,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545556,ERS1444735,Illumina,ERS1444735,ERP019502,thistle3-11-0-0
ERR1727345,thistle3-11-0-0,WGS,166,1064889682,PRJEB17632,SAMEA4545556,769554680,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-07-23,public,"fastq,sra","s3,ena,ncbi,gs","ena,ncbi.public,gs.US,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797273,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545556,ERS1444735,Illumina,ERS1444735,ERP019502,thistle3-11-0-0
ERR1727346,thistle3-11-0-0,WGS,172,1109360784,PRJEB17632,SAMEA4545556,754840348,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-07-23,public,"fastq,sra","gs,s3,ncbi,ena","ncbi.public,ena,s3.us-east-1,gs.US",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797274,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:54Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545556,ERS1444735,Illumina,ERS1444735,ERP019502,thistle3-11-0-0
ERR1727347,713A012-11-90-0,WGS,172,303206756,PRJEB17632,SAMEA4545291,240734064,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-04-19,public,"sra,fastq","s3,gs,ncbi,ena","gs.US,ncbi.public,s3.us-east-1,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797275,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:52Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545291,ERS1444470,Illumina,ERS1444470,ERP019502,713A012-11-90-0
ERR1727348,713A012-11-90-0,WGS,172,304681159,PRJEB17632,SAMEA4545291,242915032,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-04-19,public,"sra,fastq","s3,gs,ena,ncbi","s3.us-east-1,ena,gs.US,ncbi.public",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797276,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:52Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545291,ERS1444470,Illumina,ERS1444470,ERP019502,713A012-11-90-0
ERR1727365,alien-11-600-0,WGS,173,1399650408,PRJEB17632,SAMEA4545452,915160182,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2013-06-23,public,"sra,fastq","gs,s3,ena,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797293,Germany,Europe,Germany,49.3988,8.6724,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:55Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545452,ERS1444631,Illumina,ERS1444631,ERP019502,alien-11-600-0
ERR1727367,713B035-11-0-0,WGS,173,1648850403,PRJEB17632,SAMEA4545400,1276589122,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-14,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1,ena",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797295,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545400,ERS1444579,Illumina,ERS1444579,ERP019502,713B035-11-0-0
ERR1727368,713B035-11-0-0,WGS,174,1659350537,PRJEB17632,SAMEA4545400,1273820523,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015-01-14,public,"sra,fastq","ncbi,ena,s3,gs","gs.US,ncbi.public,ena,s3.us-east-1",Stool sample,ERC000015,2017-12-01,2018-11-16,Stool sample,Stool sample,Microbial DNA,ERX1797296,Kazakhstan,Asia,Kazakhstan,51.1605,71.4704,human-gut,EMBL,2017-12-01T17:02:42Z,2016-11-15T11:25:53Z,public,Illumina HiSeq 2000,metagenome,unspecified,PAIRED,unspecified,METAGENOMIC,Homo sapiens,ILLUMINA,Global subspecies distribution,2017-12-02T00:00:00Z,SAMEA4545400,ERS1444579,Illumina,ERS1444579,ERP019502,713B035-11-0-0
