Run,analysis_typeexp,analysis_typerun,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Consent,data_typeexp,data_typerun,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,Experiment,flowcell_barcoderun,geo_loc_name_country,geo_loc_name_country_continent,GEOGRAPHIC_LOCATION,gssr_idexp,gssr_idrun,instrument_namerun,Instrument,Isolation_source,lanerun,LibraryName,library_typeexp,library_typerun,LibraryLayout,LibrarySelection,LibrarySource,lsidexp,lsidrun,material_typeexp,Organism,Platform,product_orderexp,product_orderrun,product_part_numberexp,product_part_numberrun,projectexp,projectrun,read_group_idrun,ReleaseDate,research_projectexp,research_projectrun,root_sample_idexp,root_sample_idrun,run_barcoderun,run_namerun,sample_idexp,sample_IDrun,SampleName,Sample_Name,screenedrun,specific_host,SRAStudy,STRAIN,work_requestexp,work_requestrun
SRR1918910,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,959647460,PRJNA231909,SAMN03398987,613060582,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956939,D2E1WACXX,uncalculated,uncalculated,missing,377750.0,377750.0,SL-HEK,Illumina HiSeq 2000,missing,2,Pond-267161,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ34,broadinstitute.org:bsp.prod.sample:4QJ34,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45260,G45260,D2E1W.2,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CI,SM-3T2CI,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ34,SM-4QJ34,PRJNA231909.3112118,3112118,yes,missing,SRP056054,missing,37603,37603
SRR1918911,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,733923974,PRJNA231909,SAMN03398896,472497737,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956968,D2E1WACXX,uncalculated,uncalculated,missing,377764.0,377764.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267175,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3I,broadinstitute.org:bsp.prod.sample:4QJ3I,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45262,G45262,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CM,SM-3T2CM,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3I,SM-4QJ3I,PRJNA231909.3112122,3112122,yes,missing,SRP056054,missing,37603,37603
SRR1918912,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,857535248,PRJNA231909,SAMN03398895,549161764,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956987,D2E1WACXX,uncalculated,uncalculated,missing,377789.0,377789.0,SL-HEK,Illumina HiSeq 2000,missing,2,Pond-267200,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ48,broadinstitute.org:bsp.prod.sample:4QJ48,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45265,G45265,D2E1W.2,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T28M,SM-3T28M,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ48,SM-4QJ48,PRJNA231909.3101439,3101439,yes,missing,SRP056054,missing,37603,37603
SRR1918913,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,795709714,PRJNA231909,SAMN03398960,513691804,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956972,D2E1WACXX,uncalculated,uncalculated,missing,377788.0,377788.0,SL-HEK,Illumina HiSeq 2000,missing,3,Pond-267199,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ47,broadinstitute.org:bsp.prod.sample:4QJ47,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45258,G45258,D2E1W.3,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CY,SM-3T2CY,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ47,SM-4QJ47,PRJNA231909.3109997,3109997,yes,missing,SRP056054,missing,37603,37603
SRR1918914,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,905033124,PRJNA231909,SAMN03399029,586951462,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956967,D2E1WACXX,uncalculated,uncalculated,missing,377771.0,377771.0,SL-HEK,Illumina HiSeq 2000,missing,3,Pond-267182,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3P,broadinstitute.org:bsp.prod.sample:4QJ3P,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45263,G45263,D2E1W.3,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CR,SM-3T2CR,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3P,SM-4QJ3P,PRJNA231909.3108485,3108485,yes,missing,SRP056054,missing,37603,37603
SRR1918916,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,907390868,PRJNA231909,SAMN03399884,584351878,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956951,D2E1WACXX,uncalculated,uncalculated,missing,377763.0,377763.0,SL-HEK,Illumina HiSeq 2000,missing,3,Pond-267174,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3H,broadinstitute.org:bsp.prod.sample:4QJ3H,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45254,G45254,D2E1W.3,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2EH,SM-3T2EH,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3H,SM-4QJ3H,PRJNA231909.3114545,3114545,yes,missing,SRP056054,missing,37603,37603
SRR1918919,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,775043902,PRJNA231909,SAMN03399012,498989377,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956978,D2E1WACXX,uncalculated,uncalculated,missing,377782.0,377782.0,SL-HEK,Illumina HiSeq 2000,missing,3,Pond-267193,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ41,broadinstitute.org:bsp.prod.sample:4QJ41,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45257,G45257,D2E1W.3,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CW,SM-3T2CW,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ41,SM-4QJ41,PRJNA231909.3108490,3108490,yes,missing,SRP056054,missing,37603,37603
SRR1918920,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,773797764,PRJNA231909,SAMN03398954,496994913,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956988,D2E1WACXX,uncalculated,uncalculated,missing,377775.0,377775.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267186,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3T,broadinstitute.org:bsp.prod.sample:4QJ3T,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45248,G45248,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2BN,SM-3T2BN,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3T,SM-4QJ3T,PRJNA231909.3111969,3111969,yes,missing,SRP056054,missing,37603,37603
SRR1918921,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,945350708,PRJNA231909,SAMN03398987,601264464,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956939,D2E1WACXX,uncalculated,uncalculated,missing,377750.0,377750.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267161,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ34,broadinstitute.org:bsp.prod.sample:4QJ34,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45260,G45260,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CI,SM-3T2CI,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ34,SM-4QJ34,PRJNA231909.3112118,3112118,yes,missing,SRP056054,missing,37603,37603
SRR1918922,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,794931206,PRJNA231909,SAMN03398960,510768713,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956972,D2E1WACXX,uncalculated,uncalculated,missing,377788.0,377788.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267199,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ47,broadinstitute.org:bsp.prod.sample:4QJ47,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45258,G45258,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2CY,SM-3T2CY,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ47,SM-4QJ47,PRJNA231909.3109997,3109997,yes,missing,SRP056054,missing,37603,37603
SRR1918924,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,817431986,PRJNA231909,SAMN03399979,523823387,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956948,D2E1WACXX,uncalculated,uncalculated,missing,377762.0,377762.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267173,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ3G,broadinstitute.org:bsp.prod.sample:4QJ3G,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45246,G45246,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T2BV,SM-3T2BV,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ3G,SM-4QJ3G,PRJNA231909.3113339,3113339,yes,missing,SRP056054,missing,37603,37603
SRR1918926,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,847638056,PRJNA231909,SAMN03398895,540510603,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956987,D2E1WACXX,uncalculated,uncalculated,missing,377789.0,377789.0,SL-HEK,Illumina HiSeq 2000,missing,1,Pond-267200,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QJ48,broadinstitute.org:bsp.prod.sample:4QJ48,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1810,PDO-1810,P-WG-0004,P-WG-0004,G45265,G45265,D2E1W.1,2015-03-19T00:00:00Z,RP-315,RP-315,SM-3T28M,SM-3T28M,D2E1WACXX130906,130906_SL-HEK_0076_BFCD2E1WACXX,SM-4QJ48,SM-4QJ48,PRJNA231909.3101439,3101439,yes,missing,SRP056054,missing,37603,37603
SRR1909664,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,20912150,PRJNA231909,SAMN03399719,14736547,BI,public,16S,16S,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951285,A3RE3,uncalculated,uncalculated,missing,321075.0,321075.0,SL-MAB,Illumina MiSeq,missing,1,Solexa-156107,16S,16S,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4BFGF,broadinstitute.org:bsp.prod.sample:4BFGF,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1090,PDO-1090,P-MCV-0002,P-MCV-0002,G35958,G35958,A3RE3.1,2015-03-11T00:00:00Z,RP-315,RP-315,SM-3T2BA,SM-3T2BA,A3RE3130430,130430_SL-MAB_0069_FC000000000-A3RE3,SM-4BFGF,SM-4BFGF,PRJNA231909.3101218,3101218,yes,missing,SRP056054,missing,36337,36337
SRR1909665,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,386591236,PRJNA231909,SAMN03399870,253920071,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951304,C2DWNACXX,uncalculated,uncalculated,missing,377594.0,377594.0,SL-HEL,Illumina HiSeq 2000,missing,8,Pond-266117,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QG7I,broadinstitute.org:bsp.prod.sample:4QG7I,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1770,PDO-1770,P-WG-0004,P-WG-0004,G45099,G45099,C2DWN.8,2015-03-11T00:00:00Z,RP-315,RP-315,SM-3T2JR,SM-3T2JR,C2DWNACXX130830,130830_SL-HEL_0088_BFCC2DWNACXX,SM-4QG7I,SM-4QG7I,PRJNA231909.3108875,3108875,yes,missing,SRP056054,missing,37544,37544
SRR1909666,AssemblyWithoutReference,AssemblyWithoutReference,WGS,202,397723658,PRJNA231909,SAMN03399871,259255568,BI,public,WGS,WGS,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951305,C2DWNACXX,uncalculated,uncalculated,missing,377593.0,377593.0,SL-HEL,Illumina HiSeq 2000,missing,8,Pond-266116,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,RANDOM,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4QG7H,broadinstitute.org:bsp.prod.sample:4QG7H,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1770,PDO-1770,P-WG-0004,P-WG-0004,G45091,G45091,C2DWN.8,2015-03-11T00:00:00Z,RP-315,RP-315,SM-3T29V,SM-3T29V,C2DWNACXX130830,130830_SL-HEL_0088_BFCC2DWNACXX,SM-4QG7H,SM-4QG7H,PRJNA231909.3108107,3108107,yes,missing,SRP056054,missing,37544,37544
SRR1909667,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,12267850,PRJNA231909,SAMN03399872,7741525,BI,public,16S,16S,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX951303,A2RDP,uncalculated,uncalculated,missing,324249.0,324249.0,SL-MAL,Illumina MiSeq,missing,1,Solexa-158179,16S,16S,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:4BZLN,broadinstitute.org:bsp.prod.sample:4BZLN,DNA:DNA Genomic,human gut metagenome,ILLUMINA,PDO-1124,PDO-1124,P-MCV-0002,P-MCV-0002,G36321,G36321,A2RDP.1,2015-03-11T00:00:00Z,RP-315,RP-315,SM-3T29L,SM-3T29L,A2RDP130513,130513_SL-MAL_0066_FC000000000-A2RDP,SM-4BZLN,SM-4BZLN,PRJNA231909.3108097,3108097,yes,missing,SRP056054,missing,36374,36374
