Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title
ERR1398120,H2M513939,WGS,250,5320364250,PRJEB13870,SAMEA3951740,2713823723,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","ena,ncbi,gs,s3","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469379,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951740,ERS1138874,pyrosequencing,ERS1138874,ERP015450,human gut
ERR1398121,H1F413846,WGS,250,5137281250,PRJEB13870,SAMEA3951692,2742085222,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469380,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951692,ERS1138826,pyrosequencing,ERS1138826,ERP015450,human gut
ERR1398123,H3M516154,WGS,250,5437158500,PRJEB13870,SAMEA3951800,2875895740,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","s3,ncbi,gs,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469382,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951800,ERS1138934,pyrosequencing,ERS1138934,ERP015450,human gut
ERR1398127,nHM512806,WGS,250,5577533750,PRJEB13870,SAMEA3951633,3140945831,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","s3,gs,ena,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469386,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951633,ERS1138767,pyrosequencing,ERS1138767,ERP015450,human gut
ERR1398130,H3M517925,WGS,250,5654368500,PRJEB13870,SAMEA3951781,3047629021,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","s3,gs,ena,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469389,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951781,ERS1138915,pyrosequencing,ERS1138915,ERP015450,human gut
ERR1398131,H2M414102,WGS,250,5119816500,PRJEB13870,SAMEA3951704,2755676337,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","gs,ncbi,ena,s3","ena,gs.US,s3.us-east-1,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469390,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951704,ERS1138838,pyrosequencing,ERS1138838,ERP015450,human gut
ERR1398139,H1M512854,WGS,250,6715099750,PRJEB13870,SAMEA3951697,3660257604,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","gs,ena,s3,ncbi","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469398,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951697,ERS1138831,pyrosequencing,ERS1138831,ERP015450,human gut
ERR1398140,H1M412743,WGS,250,6714691750,PRJEB13870,SAMEA3951689,3658072682,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","ena,gs,ncbi,s3","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469399,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951689,ERS1138823,pyrosequencing,ERS1138823,ERP015450,human gut
ERR1398146,H2M514930,WGS,250,5172931250,PRJEB13870,SAMEA3951731,2711058364,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","gs,s3,ncbi,ena","ena,ncbi.public,gs.US,s3.us-east-1",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469405,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951731,ERS1138865,pyrosequencing,ERS1138865,ERP015450,human gut
ERR1398155,H1F513818,WGS,250,6763122000,PRJEB13870,SAMEA3951664,3587141304,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","gs,ncbi,s3,ena","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469414,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951664,ERS1138798,pyrosequencing,ERS1138798,ERP015450,human gut
ERR1398174,H2M514903,WGS,250,5338347750,PRJEB13870,SAMEA3951705,3024948275,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","gs,ncbi,s3,ena","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469433,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951705,ERS1138839,pyrosequencing,ERS1138839,ERP015450,human gut
ERR1398175,H1M512840,WGS,250,5217287000,PRJEB13870,SAMEA3951686,2790795043,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","ena,gs,ncbi,s3","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469434,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951686,ERS1138820,pyrosequencing,ERS1138820,ERP015450,human gut
ERR1398180,nHM510732,WGS,250,5219534000,PRJEB13870,SAMEA3951623,2748181733,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","s3,ncbi,gs,ena","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469439,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951623,ERS1138757,pyrosequencing,ERS1138757,ERP015450,human gut
ERR1398182,H3M516129,WGS,250,5048764500,PRJEB13870,SAMEA3951784,2734255161,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","ncbi,gs,ena,s3","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469441,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951784,ERS1138918,pyrosequencing,ERS1138918,ERP015450,human gut
ERR1398183,H1M613745,WGS,250,6856045250,PRJEB13870,SAMEA3951691,3597464335,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","gs,ncbi,ena,s3","ena,s3.us-east-1,gs.US,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469442,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951691,ERS1138825,pyrosequencing,ERS1138825,ERP015450,human gut
ERR1398184,H2M513934,WGS,250,5416228000,PRJEB13870,SAMEA3951735,2766086824,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","ncbi,gs,ena,s3","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469443,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951735,ERS1138869,pyrosequencing,ERS1138869,ERP015450,human gut
ERR1398205,nHM412844,WGS,250,5407864750,PRJEB13870,SAMEA3951646,2865814696,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","gs,ena,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469464,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951646,ERS1138780,pyrosequencing,ERS1138780,ERP015450,human gut
ERR1398206,nHM611708,WGS,250,4902795500,PRJEB13870,SAMEA3951608,2648204185,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","s3,gs,ena,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469465,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951608,ERS1138742,pyrosequencing,ERS1138742,ERP015450,human gut
ERR1398207,H2MX14816,WGS,250,5056313500,PRJEB13870,SAMEA3951717,2637315099,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","gs,s3,ena,ncbi","gs.US,ena,s3.us-east-1,ncbi.public",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469466,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951717,ERS1138851,pyrosequencing,ERS1138851,ERP015450,human gut
ERR1398208,H2F514923,WGS,250,5087069750,PRJEB13870,SAMEA3951724,2725943114,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","ncbi,s3,gs,ena","gs.US,ncbi.public,s3.us-east-1,ena",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469467,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:57Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951724,ERS1138858,pyrosequencing,ERS1138858,ERP015450,human gut
ERR1398209,H1M513804,WGS,250,4931473500,PRJEB13870,SAMEA3951650,2704834092,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"fastq,sra","ena,gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public,ena",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469468,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951650,ERS1138784,pyrosequencing,ERS1138784,ERP015450,human gut
ERR1398221,H2M514107,WGS,250,5129210500,PRJEB13870,SAMEA3951801,2795079114,BEIJING CHAOYANG HOSPITA,2015-01-05,public,"sra,fastq","ncbi,ena,gs,s3","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2016-11-16,2018-11-16,human gut,human gut,human gut,ERX1469480,China,Asia,China,39.9 N,116. 3 E,human-gut,Beijing Chaoyang Hospita,2016-11-16T17:02:46Z,2016-10-21T09:37:56Z,public,Illumina HiSeq 2500,metagenome,unspecified,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,Dysbiosis of gut microbiota contributes to the pathogenesis of hypertension,2016-11-17T00:00:00Z,SAMEA3951801,ERS1138935,pyrosequencing,ERS1138935,ERP015450,human gut
