Run,Alias,AssayType,BioProject,BioSample,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_and/or_sea,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,AvgSpotLen,Bases,Bytes
ERR1620324,SZAXPI029553-32,WGS,PRJEB15371,SAMEA4431937,BEIJING GENOME INSTITUTE,2013,public,"sra,fastq","ncbi,gs,ena,s3","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690689,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029553-32,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431937,ERS1343386,Illumina,ERS1343386,ERP017091,Stool sample from China,197,6309993583,4682210264
ERR1620362,SZAXPI029591-123,WGS,PRJEB15371,SAMEA4431975,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ncbi,gs,s3,ena","gs.US,ena,s3.us-east-1,ncbi.public",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690727,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029591-123,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431975,ERS1343424,Illumina,ERS1343424,ERP017091,Stool sample from China,194,6964973134,5622375364
ERR1620365,SZAXPI029490-88,WGS,PRJEB15371,SAMEA4431978,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","gs,ncbi,ena,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690730,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029490-88,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431978,ERS1343427,Illumina,ERS1343427,ERP017091,Stool sample from China,196,4968706028,3751771995
ERR1620268,SZAXPI029460-123,WGS,PRJEB15371,SAMEA4431881,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690633,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029460-123,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431881,ERS1343330,Illumina,ERS1343330,ERP017091,Stool sample from China,192,6035481329,4953368245
ERR1620270,SZAXPI029467-166,WGS,PRJEB15371,SAMEA4431883,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690635,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029467-166,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431883,ERS1343332,Illumina,ERS1343332,ERP017091,Stool sample from China,192,4779120552,3945622732
ERR1620272,SZAXPI029474-42,WGS,PRJEB15371,SAMEA4431885,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690637,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029474-42,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431885,ERS1343334,Illumina,ERS1343334,ERP017091,Stool sample from China,196,5065329759,3952656671
ERR1620276,SZAXPI029486-84,WGS,PRJEB15371,SAMEA4431889,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690641,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029486-84,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431889,ERS1343338,Illumina,ERS1343338,ERP017091,Stool sample from China,196,5425576391,4252176518
ERR1620277,RSZAXPI003109-149,WGS,PRJEB15371,SAMEA4431890,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690642,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003109-149,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431890,ERS1343339,Illumina,ERS1343339,ERP017091,Stool sample from China,198,3868357376,2726918534
ERR1620283,SZAXPI029463-136,WGS,PRJEB15371,SAMEA4431896,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2019-01-23,human gut,human-associated habitat,faeces,ERX1690648,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029463-136,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431896,ERS1343345,Illumina,ERS1343345,ERP017091,Stool sample from China,197,5551809207,3422128027
ERR1620284,RSZAXPI003106-145,WGS,PRJEB15371,SAMEA4431897,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690649,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003106-145,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431897,ERS1343346,Illumina,ERS1343346,ERP017091,Stool sample from China,197,4478049902,3254249197
ERR1620286,SZAXPI029466-158,WGS,PRJEB15371,SAMEA4431899,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690651,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029466-158,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431899,ERS1343348,Illumina,ERS1343348,ERP017091,Stool sample from China,197,6103489945,4294115198
ERR1620298,SZAXPI029494-94,WGS,PRJEB15371,SAMEA4431911,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690663,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029494-94,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431911,ERS1343360,Illumina,ERS1343360,ERP017091,Stool sample from China,196,6089804959,4375514863
ERR1620300,SZAXPI029495-96,WGS,PRJEB15371,SAMEA4431913,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690665,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029495-96,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431913,ERS1343362,Illumina,ERS1343362,ERP017091,Stool sample from China,197,5964889301,4230759353
ERR1620301,SZAXPI029496-97,WGS,PRJEB15371,SAMEA4431914,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690666,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI029496-97,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431914,ERS1343363,Illumina,ERS1343363,ERP017091,Stool sample from China,197,5131708894,3659286007
ERR1620303,RSZAXPI003069-101,WGS,PRJEB15371,SAMEA4431916,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690668,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003069-101,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431916,ERS1343365,Illumina,ERS1343365,ERP017091,Stool sample from China,198,4037086611,2824406822
ERR1620307,RSZAXPI003094-125,WGS,PRJEB15371,SAMEA4431920,BEIJING GENOME INSTITUTE,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2016-11-11,2018-11-16,human gut,human-associated habitat,faeces,ERX1690672,China,Asia,China,China,55.676097,12.568337,human-gut,BGI,2016-11-11T17:03:37Z,2016-10-21T09:38:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI003094-125,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2016-11-16T00:00:00Z,SAMEA4431920,ERS1343369,Illumina,ERS1343369,ERP017091,Stool sample from China,198,4878199337,3367617064
