Run,Alias,AssayType,AvgSpotLen,Bases,BioProject,BioSample,Bytes,CenterName,Collection_Date,Consent,DATASTOREfiletype,DATASTOREprovider,DATASTOREregion,ENA_checklist,ENA-FIRST-PUBLICrun,ENA-LAST-UPDATErun,environment_biome,environment_feature,environment_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_country_and/or_sea,geographic_location_country_sea_region,geographic_location_latitude,geographic_location_longitude,human_gut_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,LibraryName,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,SampleName,Sample_Name,Sequencing_method,SRA_accession,SRAStudy,Title,INSDC_center_alias,Individual
ERR589443,RSZAXPI002602-13,WGS,198,5656300906,PRJEB6997,SAMEA2737652,3869905770,BGI,2012,public,"fastq,sra","ena,s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public,ena",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547438,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:22Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002602-13,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737652,ERS537182,Illumina,ERS537182,ERP006678,Stool sample from China,BGI,
ERR589485,RSZAXPI002642-106,WGS,194,5317259616,PRJEB6997,SAMEA2737655,4107774454,BGI,2012,public,"sra,fastq","s3,ena,ncbi,gs","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547480,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:23Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002642-106,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737655,ERS537185,Illumina,ERS537185,ERP006678,Stool sample from China,BGI,
ERR589508,RSZAXPI002665-34,WGS,194,4848565531,PRJEB6997,SAMEA2737663,3730978908,BGI,2012,public,"sra,fastq","gs,ena,s3,ncbi","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547503,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002665-34,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737663,ERS537193,Illumina,ERS537193,ERP006678,Stool sample from China,BGI,
ERR589526,RSZAXPI002994-16_2,WGS,196,5980369380,PRJEB6997,SAMEA2738113,4403650731,BGI,2231,public,"sra,fastq","gs,ncbi,s3,ena","s3.us-east-1,gs.US,ena,ncbi.public",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547521,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:53:29Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002994-16_2,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738113,ERS537643,Illumina,ERS537643,ERP006678,oral sample from China,BGI,
ERR589528,SZAXPI011675-44,WGS,197,5532130449,PRJEB6997,SAMEA2737670,4119147858,BGI,2012,public,"fastq,sra","gs,ncbi,ena,s3","s3.us-east-1,gs.US,ncbi.public,ena",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547523,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:22Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011675-44,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737670,ERS537200,Illumina,ERS537200,ERP006678,Stool sample from China,BGI,
ERR589534,SZAXPI011687-108,WGS,193,5018359703,PRJEB6997,SAMEA2737676,4174571637,BGI,2012,public,"fastq,sra","ncbi,ena,s3,gs","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547529,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:25Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011687-108,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737676,ERS537206,Illumina,ERS537206,ERP006678,Stool sample from China,BGI,
ERR589537,SZAXPI011691-140,WGS,196,6251442374,PRJEB6997,SAMEA2737679,4751464983,BGI,2012,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547532,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:18Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011691-140,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737679,ERS537209,Illumina,ERS537209,ERP006678,Stool sample from China,BGI,
ERR589540,SZAXPI011698-46,WGS,196,5993181061,PRJEB6997,SAMEA2737682,4531913036,BGI,2012,public,"fastq,sra","gs,ena,ncbi,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547535,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI011698-46,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737682,ERS537212,Illumina,ERS537212,ERP006678,Stool sample from China,BGI,
ERR589560,SZAXPI012064-32,WGS,193,6376051411,PRJEB6997,SAMEA2737701,5139456613,BGI,2012,public,"fastq,sra","s3,gs,ncbi,ena","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547555,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:44Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012064-32,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737701,ERS537231,Illumina,ERS537231,ERP006678,Stool sample from China,BGI,
ERR589579,SZAXPI012084-88,WGS,195,6086964375,PRJEB6997,SAMEA2737720,4815712794,BGI,2012,public,"fastq,sra","gs,ena,ncbi,s3","ncbi.public,gs.US,ena,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547574,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:49:03Z,public,Illumina HiSeq 2000,metagenome,SZAXPI012084-88,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737720,ERS537250,Illumina,ERS537250,ERP006678,Stool sample from China,BGI,
ERR589686,SZAXPI018395-34,WGS,186,5728371289,PRJEB6997,SAMEA2738133,4822250773,BGI,2207,public,"sra,fastq","s3,ncbi,ena,gs","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547681,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:05:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI018395-34,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738133,ERS537663,Illumina,ERS537663,ERP006678,oral sample from China,BGI,
ERR589720,SZAXPI018483-15,WGS,196,2779182613,PRJEB6997,SAMEA2738167,2140472709,BGI,2262,public,"sra,fastq","ena,s3,ncbi,gs","gs.US,ena,s3.us-east-1,ncbi.public",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547715,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:53:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI018483-15,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738167,ERS537697,Illumina,ERS537697,ERP006678,oral sample from China,BGI,
ERR589726,SZAXPI018489-21,WGS,194,4144355493,PRJEB6997,SAMEA2738173,3327628476,BGI,2180,public,"fastq,sra","ncbi,ena,gs,s3","ncbi.public,ena,gs.US,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547721,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:39:58Z,public,Illumina HiSeq 2000,metagenome,SZAXPI018489-21,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738173,ERS537703,Illumina,ERS537703,ERP006678,oral sample from China,BGI,
ERR589734,SZAXPI019813-17,WGS,195,7656188151,PRJEB6997,SAMEA2737739,5936562169,BGI,2012,public,"sra,fastq","ncbi,gs,ena,s3","gs.US,s3.us-east-1,ena,ncbi.public",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547729,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:42:49Z,public,Illumina HiSeq 2000,metagenome,SZAXPI019813-17,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737739,ERS537269,Illumina,ERS537269,ERP006678,Stool sample from China,BGI,
ERR589737,SZAXPI019816-20,WGS,195,7479690012,PRJEB6997,SAMEA2737742,5804754265,BGI,2012,public,"fastq,sra","gs,s3,ncbi,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547732,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:42:49Z,public,Illumina HiSeq 2000,metagenome,SZAXPI019816-20,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737742,ERS537272,Illumina,ERS537272,ERP006678,Stool sample from China,BGI,
ERR589755,SZAXPI019836-46,WGS,193,5899729719,PRJEB6997,SAMEA2737760,4836309658,BGI,2012,public,"fastq,sra","ena,s3,ncbi,gs","gs.US,ncbi.public,ena,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547750,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:03:09Z,public,Illumina HiSeq 2000,metagenome,SZAXPI019836-46,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737760,ERS537290,Illumina,ERS537290,ERP006678,Stool sample from China,BGI,
ERR589778,SZAXPI019860-140,WGS,197,5985698623,PRJEB6997,SAMEA2737783,4354109139,BGI,2012,public,"fastq,sra","ena,s3,ncbi,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547773,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:02:57Z,public,Illumina HiSeq 2000,metagenome,SZAXPI019860-140,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737783,ERS537313,Illumina,ERS537313,ERP006678,Stool sample from China,BGI,
ERR589792,SZAXPI021211-26,WGS,195,5904138500,PRJEB6997,SAMEA2737797,4549510259,BGI,2012,public,"sra,fastq","gs,ncbi,s3,ena","gs.US,ena,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547787,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:44:18Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021211-26,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737797,ERS537327,Illumina,ERS537327,ERP006678,Stool sample from China,BGI,
ERR589816,SZAXPI021235-95,WGS,195,7254748739,PRJEB6997,SAMEA2737821,5783186520,BGI,2012,public,"sra,fastq","s3,ncbi,gs,ena","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547811,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:49:04Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021235-95,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737821,ERS537351,Illumina,ERS537351,ERP006678,Stool sample from China,BGI,
ERR589840,SZAXPI021288-34,WGS,194,6836074316,PRJEB6997,SAMEA2737845,5589026691,BGI,2012,public,"sra,fastq","gs,ncbi,ena,s3","gs.US,s3.us-east-1,ncbi.public,ena",ERC000015,2015-07-16,2018-11-16,human gut,human-associated habitat,faeces,ERX547835,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:50:15Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021288-34,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737845,ERS537375,Illumina,ERS537375,ERP006678,Stool sample from China,BGI,
ERR589357,RSZAXPI002314-23,WGS,194,5236593504,PRJEB6997,SAMEA2737889,3977962713,BGI,2074,public,"fastq,sra","ena,ncbi,gs,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547352,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T12:04:26Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002314-23,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737889,ERS537419,Illumina,ERS537419,ERP006678,oral sample from China,BGI,
ERR589365,RSZAXPI002322-34,WGS,194,5414689056,PRJEB6997,SAMEA2737897,4090137461,BGI,2075,public,"sra,fastq","gs,ncbi,ena,s3","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547360,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:50:50Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002322-34,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737897,ERS537427,Illumina,ERS537427,ERP006678,oral sample from China,BGI,
ERR589371,RSZAXPI002328-45,WGS,194,5656783859,PRJEB6997,SAMEA2737903,4313826678,BGI,2094,public,"sra,fastq","s3,gs,ncbi,ena","gs.US,ncbi.public,s3.us-east-1,ena",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547366,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:44:18Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002328-45,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737903,ERS537433,Illumina,ERS537433,ERP006678,oral sample from China,BGI,
ERR589373,RSZAXPI002330-47,WGS,194,5636829944,PRJEB6997,SAMEA2737905,4316448746,BGI,2099,public,"sra,fastq","ena,s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1,ena",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,dental,ERX547368,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:43:32Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002330-47,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2737905,ERS537435,Illumina,ERS537435,ERP006678,oral sample from China,BGI,
ERR589401,RSZAXPI002469-104,WGS,197,709623441,PRJEB6997,SAMEA2738044,509661513,BGI,2233,public,"fastq,sra","s3,ena,gs,ncbi","s3.us-east-1,ena,gs.US,ncbi.public",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547396,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:51:40Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002469-104,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738044,ERS537574,Illumina,ERS537574,ERP006678,oral sample from China,BGI,
ERR589416,RSZAXPI002477-142_2,WGS,196,5963714299,PRJEB6997,SAMEA2738061,4392638209,BGI,2221,public,"fastq,sra","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547411,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:51:40Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002477-142_2,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738061,ERS537591,Illumina,ERS537591,ERP006678,oral sample from China,BGI,
ERR589427,RSZAXPI002482-15,WGS,196,1634596719,PRJEB6997,SAMEA2738070,1238219639,BGI,2215,public,"fastq,sra","s3,ena,ncbi,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547422,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2018-03-09T11:52:39Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002482-15,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738070,ERS537600,Illumina,ERS537600,ERP006678,oral sample from China,BGI,
ERR589438,RSZAXPI002488-21_2,WGS,196,1984751848,PRJEB6997,SAMEA2738083,1420223960,BGI,2208,public,"fastq,sra","gs,s3,ncbi,ena","s3.us-east-1,ena,gs.US,ncbi.public",ERC000015,2015-07-16,2018-11-16,human oral,human-associated habitat,saliva,ERX547433,China,Asia,China,China,55.676097,12.568337,human-gut,Beijing Genome Institute,2015-07-16T15:54:28Z,2016-10-21T09:36:23Z,public,Illumina HiSeq 2000,metagenome,RSZAXPI002488-21_2,PAIRED,other,METAGENOMIC,human oral metagenome,ILLUMINA,MetaHIT-IGC,2015-07-17T00:00:00Z,SAMEA2738083,ERS537613,Illumina,ERS537613,ERP006678,oral sample from China,BGI,
